"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2020","St. John's",74.1102,16,72.8992,21,100.436,183,106.121,104,96.9471,91,95.2006,53,10.9204,66
"2020","Stanford",68.7271,194,68.2571,183,100.491,182,104.438,143,90.4764,9,90.3291,7,14.1094,43
"2020","Stephen F. Austin",73.6897,22,71.8263,39,106.254,65,104.086,152,91.8009,14,97.0887,75,6.9969,100
"2020","Stetson",63.9123,349,63.221,344,97.917,233,98.0926,255,104.508,271,108.311,299,-10.2188,288
"2020","Stony Brook",69.8095,128,69.8256,92,97.3943,249,97.658,260,94.5197,42,99.397,111,-1.73897,192
"2020","Syracuse",68.3919,220,68.2772,179,107.914,42,112.844,21,100.449,173,99.56,116,13.2837,51
"2020","TCU",65.5596,326,65.062,318,97.499,242,105.45,119,98.2128,120,96.1441,66,9.30643,86
"2020","Temple",70.6197,89,70.2683,73,95.2282,299,100.112,217,95.0616,51,94.6247,47,5.48765,115
"2020","Tennessee",66.5734,297,65.1864,313,100.833,174,106.565,96,96.8269,88,95.7688,62,10.7966,68
"2020","Tennessee Martin",69.6645,136,68.7432,149,105.755,74,105.052,128,119.891,351,122.875,353,-17.8232,338
"2020","Tennessee St.",70.4114,104,69.2769,121,98.4752,223,96.4025,279,100.315,172,104.553,222,-8.1502,259
"2020","Tennessee Tech",68.5166,210,66.9021,252,92.8863,327,92.5376,334,105.948,294,109.27,310,-16.7328,331
"2020","Texas",66.1726,310,65.9139,292,96.9793,259,104.066,153,95.5664,56,92.6071,24,11.4593,61
"2020","Texas A&M",65.7236,321,64.544,334,95.841,286,100.998,203,98.9631,135,97.2257,77,3.77233,131
"2020","Texas A&M Corpus Chris",68.2692,224,65.6998,303,95.964,283,94.2855,317,101.852,210,105.996,257,-11.71,303
"2020","Texas Southern",74.3725,12,72.8583,22,96.7206,264,99.1342,237,102.156,220,108.557,304,-9.42257,278
"2020","Texas St.",66.6009,293,65.1898,312,104.833,92,106.262,101,96.3921,77,98.3469,93,7.9149,93
"2020","Texas Tech",68.2709,223,67.3157,236,103.833,109,109.773,47,91.7353,13,90.4912,9,19.2818,21
"2020","The Citadel",74.2659,13,73.7303,10,94.2093,317,94.9092,305,111.712,340,112.155,328,-17.2456,334
"2020","Toledo",69.2631,160,68.0657,193,105.872,73,106.257,102,102.337,223,105.118,237,1.13917,152
"2020","Towson",65.3661,332,65.1372,317,105.611,76,105.657,114,103.203,244,104.786,226,0.870394,158
"2020","Troy",70.3582,108,69.2894,119,94.6153,312,96.1926,284,105.43,284,106.625,268,-10.432,293
"2020","Tulane",69.3523,154,68.7045,154,97.7036,236,101.948,192,101.84,209,103.095,191,-1.14687,185
"2020","Tulsa",67.0326,276,65.785,297,99.5236,200,103.224,168,92.8452,17,93.5771,34,9.64687,80
